"names.preds.","preds"
"1",801.785837651123
"2",801.785837651123
"3",13593.7
"4",801.785837651123
"5",801.785837651123
"6",801.785837651123
"7",801.785837651123
"8",801.785837651123
"9",801.785837651123
"10",801.785837651123
"11",801.785837651123
"12",801.785837651123
"13",801.785837651123
"14",801.785837651123
"15",801.785837651123
"16",801.785837651123
"17",801.785837651123
"18",801.785837651123
"19",801.785837651123
"20",801.785837651123
"21",801.785837651123
"22",801.785837651123
"23",801.785837651123
"24",6769.82926829268
"25",801.785837651123
"26",801.785837651123
"27",13593.7
"28",801.785837651123
"29",801.785837651123
"30",801.785837651123
"31",801.785837651123
"32",801.785837651123
"33",801.785837651123
"34",801.785837651123
"35",801.785837651123
"36",801.785837651123
"37",801.785837651123
"38",801.785837651123
"39",801.785837651123
"40",801.785837651123
"41",801.785837651123
"42",801.785837651123
"43",801.785837651123
"44",801.785837651123
"45",801.785837651123
"46",801.785837651123
"47",6769.82926829268
"48",801.785837651123
"49",801.785837651123
"50",801.785837651123
"51",801.785837651123
"52",801.785837651123
"53",801.785837651123
"54",801.785837651123
"55",801.785837651123
"56",801.785837651123
"57",801.785837651123
"58",801.785837651123
"59",801.785837651123
"60",801.785837651123
"61",801.785837651123
"62",801.785837651123
"63",801.785837651123
"64",801.785837651123
"65",801.785837651123
"66",801.785837651123
"67",801.785837651123
"68",801.785837651123
"69",801.785837651123
"70",801.785837651123
"71",801.785837651123
"72",801.785837651123
"73",801.785837651123
"74",801.785837651123
"75",801.785837651123
"76",801.785837651123
"77",801.785837651123
"78",801.785837651123
"79",801.785837651123
"80",801.785837651123
"81",801.785837651123
"82",801.785837651123
"83",801.785837651123
"84",801.785837651123
"85",801.785837651123
"86",801.785837651123
"87",801.785837651123
"88",801.785837651123
"89",801.785837651123
"90",801.785837651123
"91",801.785837651123
"92",801.785837651123
"93",801.785837651123
"94",801.785837651123
"95",801.785837651123
"96",801.785837651123
"97",801.785837651123
"98",801.785837651123
"99",801.785837651123
"100",801.785837651123
"101",801.785837651123
"102",801.785837651123
"103",6769.82926829268
"104",801.785837651123
"105",801.785837651123
"106",6769.82926829268
"107",801.785837651123
"108",801.785837651123
"109",21638
"110",801.785837651123
"111",801.785837651123
"112",801.785837651123
"113",801.785837651123
"114",801.785837651123
"115",1095.53921568627
"116",1095.53921568627
"117",1095.53921568627
"118",1095.53921568627
"119",3912.94897959184
"120",1095.53921568627
"121",3912.94897959184
"122",1095.53921568627
"123",1095.53921568627
"124",1095.53921568627
"125",1095.53921568627
"126",1095.53921568627
"127",801.785837651123
"128",1095.53921568627
"129",1095.53921568627
"130",1095.53921568627
"131",1095.53921568627
"132",1095.53921568627
"133",1095.53921568627
"134",1095.53921568627
"135",1095.53921568627
"136",1095.53921568627
"137",1095.53921568627
"138",1095.53921568627
"139",1095.53921568627
"140",1095.53921568627
"141",1095.53921568627
"142",3912.94897959184
"143",1095.53921568627
"144",3912.94897959184
"145",3912.94897959184
"146",1095.53921568627
"147",3912.94897959184
"148",3912.94897959184
"149",3912.94897959184
"150",3912.94897959184
"151",3912.94897959184
"152",3912.94897959184
"153",14338.8571428571
"154",3912.94897959184
"155",3912.94897959184
"156",1095.53921568627
"157",1095.53921568627
"158",1095.53921568627
"159",1095.53921568627
"160",3912.94897959184
"161",1095.53921568627
"162",801.785837651123
"163",801.785837651123
"164",801.785837651123
"165",801.785837651123
"166",801.785837651123
"167",801.785837651123
"168",801.785837651123
"169",801.785837651123
"170",801.785837651123
"171",801.785837651123
"172",801.785837651123
"173",801.785837651123
"174",801.785837651123
"175",801.785837651123
"176",801.785837651123
"177",801.785837651123
"178",801.785837651123
"179",801.785837651123
"180",801.785837651123
"181",801.785837651123
"182",801.785837651123
"183",801.785837651123
"184",801.785837651123
"185",801.785837651123
"186",801.785837651123
"187",801.785837651123
"188",801.785837651123
"189",801.785837651123
"190",801.785837651123
"191",801.785837651123
"192",801.785837651123
"193",801.785837651123
"194",801.785837651123
"195",801.785837651123
"196",801.785837651123
"197",801.785837651123
"198",801.785837651123
"199",801.785837651123
"200",801.785837651123
"201",801.785837651123
"202",801.785837651123
"203",801.785837651123
"204",801.785837651123
"205",801.785837651123
"206",801.785837651123
"207",801.785837651123
