"","ps8"
"1",-0.512712383916147
"2",-0.269034207364539
"3",0.341102537903364
"4",-0.451129699305701
"5",-0.52884425754521
"6",-0.532555985958424
"7",0.079856234804147
"8",-0.551774663849735
"9",-0.534835991224091
"10",-0.520681871325097
"11",-0.477637366495835
"12",-0.436059440245261
"13",-0.144639478171278
"14",-0.551871668740849
"15",-0.131900323760156
"16",-0.511524728587238
"17",0.122041419633218
"18",-0.41536748370099
"19",-0.535211496784287
"20",-0.474870022651368
"21",-0.54270903673462
"22",-0.289974769578424
"23",-0.358724700591481
"24",0.292668727468212
"25",-0.145206738142147
"26",-0.00649830141109523
"27",0.13729999561707
"28",-0.186620534995743
"29",0.346863295420027
"30",0.136285729517331
"31",-0.210651480529847
"32",-0.445631277751261
"33",-0.58711475518014
"34",-0.290472086530499
"35",-0.444841778197828
"36",-0.518114475010952
"37",-0.543876577624397
"38",-0.460035929585455
"39",-0.295076416056784
"40",-0.354058831542525
"41",-0.560812803651462
"42",-0.487053295697458
"43",-0.230375588515919
"44",-0.377035318630533
"45",-0.141077008851269
"46",0.0479571559700433
"47",0.744238728777287
"48",-0.196524049924876
"49",-0.357447373470161
"50",-0.573540792471005
"51",-0.457973051940819
"52",-0.580057597644555
"53",-0.413013940698848
"54",-0.443231877831209
"55",-0.479376236314468
"56",0.283036416855367
"57",-0.593502195230249
"58",-0.513774629689816
"59",-0.428468044196429
"60",-0.544024574709416
"61",-0.515084323132493
"62",-0.461532381278123
"63",-0.453892322686887
"64",-0.380254318494741
"65",-0.40896507550111
"66",-0.285644814202131
"67",-0.507021153080047
"68",-0.478728406079333
"69",-0.475175113393225
"70",-0.240478547825499
"71",-0.263142014349855
"72",-0.469782266867235
"73",-0.507730214865831
"74",-0.414356060828076
"75",-0.464165225210219
"76",-0.228474767960648
"77",-0.286729903441798
"78",-0.369406124696843
"79",-0.395570325559133
"80",-0.435004565215097
"81",0.0435856586724733
"82",-0.229972494583965
"83",-0.360292999188169
"84",-0.500859781679748
"85",-0.507879816749492
"86",-0.519524728789534
"87",-0.480229847754178
"88",-0.531869166276708
"89",-0.459059351006689
"90",-0.501889692809191
"91",-0.467123337571225
"92",-0.329409285045499
"93",-0.431671802034347
"94",-0.534638061193811
"95",-0.334846990588333
"96",-0.406219435314131
"97",-0.521964277925928
"98",-0.470592905124403
"99",-0.158866361118487
"100",-0.0818196725746006
"101",-0.218682754553429
"102",0.0287950812417368
"103",0.371530635454332
"104",-0.269030863861601
"105",-0.432652099677926
"106",-0.0895060992814926
"107",-0.500292998451421
"108",-0.578775106767375
"109",0.605929557551745
"110",-0.061511005728913
"111",-0.495733846177147
"112",0.160628742140596
"113",-0.0246621882482163
"114",0.199705673187857
"115",-0.520146747449287
"116",-0.335112242184209
"117",-0.510462678622939
"118",-0.54418388090805
"119",-0.223659164537717
"120",-0.395307569000761
"121",-0.0244049354558454
"122",0.00383071683540939
"123",-0.467178284226019
"124",-0.325563264206527
"125",-0.233829762419462
"126",-0.380936073449877
"127",-0.557481357005486
"128",-0.4079294505038
"129",-0.557513255376987
"130",-0.347709432462263
"131",-0.631452493835778
"132",-0.544756444375571
"133",-0.47831860062108
"134",-0.348473929731844
"135",-0.491838907083786
"136",-0.467629169449536
"137",-0.490829521207579
"138",-0.135349960017069
"139",-0.277023671277542
"140",-0.403776591831598
"141",-0.49254357684706
"142",-0.0326196797330831
"143",-0.319593290003902
"144",-0.244149937316395
"145",0.0661791488934058
"146",-0.243249773166103
"147",-0.135354405783585
"148",-0.299410151523227
"149",0.163375914255133
"150",-0.0632256279250245
"151",0.167347305803077
"152",0.194070603432873
"153",0.636934400313419
"154",-0.187682428723376
"155",-0.309434787875996
"156",-0.353976837957024
"157",-0.0696977680518372
"158",-0.296420857016941
"159",-0.316450187908077
"160",0.255178955832019
"161",0.0390649903900275
"162",-0.458225145849075
"163",-0.531430479110426
"164",-0.249365101562203
"165",-0.515869561715237
"166",-0.444057236380124
"167",-0.507585384684271
"168",-0.444548682587662
"169",-0.46766382670354
"170",-0.601553594573821
"171",-0.51797329609117
"172",-0.236012534699311
"173",-0.225209259288124
"174",-0.557022542474231
"175",-0.322859731536206
"176",-0.363133680004874
"177",-0.512654375891842
"178",-0.385226350650173
"179",-0.481977019993231
"180",-0.0332685363472806
"181",-0.388049751493463
"182",-0.358392234672367
"183",-0.473798055136761
"184",-0.0811595390050907
"185",-0.481255723759776
"186",-0.458321457534063
"187",-0.529643862771339
"188",-0.419431263519133
"189",-0.413607178743928
"190",-0.4162565815566
"191",-0.47223991822141
"192",-0.443056846329811
"193",-0.53826324266612
"194",-0.0895201075518897
"195",-0.543267314488029
"196",-0.368048034993629
"197",-0.394978764754201
"198",-0.344542172020148
"199",-0.317893941683422
"200",-0.471924964965944
"201",-0.486992673966892
"202",-0.457357301550993
"203",-0.375929512902747
"204",-0.526795348629514
"205",-0.456440703291871
"206",-0.430210655102997
"207",-0.418935585651524
"208",-0.531486324278359
"209",-0.491479786900842
"210",-0.498733356185114
"211",-0.471450174797916
"212",-0.300996973706784
"213",-0.289201709108428
"214",-0.444414573339624
"215",-0.468582925866468
"216",-0.451429086238038
"217",-0.405235965960251
"218",-0.388735764544559
"219",-0.445966183662204
"220",-0.40754237740309
"221",-0.470642465402221
"222",-0.452426748791148
"223",-0.440344299232372
"224",-0.475596301494624
"225",-0.415936861487607
"226",-0.536151840195397
"227",-0.320452195067322
"228",-0.498376474154344
"229",-0.0336850505396017
"230",-0.406813269217498
"231",-0.507649952248609
"232",-0.483638030601801
"233",-0.346008769385939
"234",-0.486345350436194
"235",-0.397924594377017
"236",-0.223129223006445
"237",-0.384562901629426
"238",-0.369880580739077
"239",-0.0773143320735368
"240",-0.477499834209364
"241",-0.502717663304038
"242",-0.43945737854888
"243",-0.429636499956897
"244",0.583431555437344
"245",-0.24139636099452
"246",0.886117628922845
"247",0.843768982286556
"248",0.0430952768252901
"249",0.0437913571001765
"250",-0.0170972542292892
"251",-0.109989510982294
"252",0.833783649906834
"253",-0.158567252129958
"254",0.176126769797325
"255",-0.0747672814693435
"256",-0.217210803685165
"257",-0.399532019169108
"258",0.0730864888696866
"259",-0.219312199388687
"260",-0.2029531878181
"261",0.228293275486813
"262",0.00626009397758939
"263",-0.313507865533871
"264",-0.423368443316388
"265",-0.383054113280969
"266",-0.488822979724955
"267",-0.419085730293325
"268",-0.375717134251441
"269",-0.385467654209689
